Gene ID	Gene Name	SRR1839796	SRR1839800	SRR1839795	SRR1839804	SRR1839802	SRR1839801	SRR1839803	SRR1839797	SRR1839794	SRR1839792	SRR1839799	SRR1839791	SRR1839798	SRR1839793
ENSG00000000003	TSPAN6	3	4	3	4	5	3	1	1	0	4	3	8	7	0
ENSG00000000005	TNMD	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419	DPM1	81	49	103	96	79	49	74	66	96	22	31	135	70	29
ENSG00000000457	SCYL3	293	193	199	267	211	162	224	156	307	179	104	303	185	47
ENSG00000000460	C1orf112	62	23	23	71	38	51	43	16	38	12	14	46	22	11
ENSG00000000938	FGR	14354	14300	11309	11217	10320	8112	6406	13122	14528	10358	7128	14749	11519	4038
ENSG00000000971	CFH	30	5	23	51	30	8	40	13	11	5	1	74	8	6
ENSG00000001036	FUCA2	215	189	226	201	205	172	167	206	201	65	156	251	234	58
ENSG00000001084	GCLC	211	136	158	345	197	158	230	109	199	17	62	336	116	37
ENSG00000001167	NFYA	600	356	380	595	394	265	407	295	585	101	193	707	300	51
ENSG00000001460	STPG1	52	49	30	59	44	29	36	24	68	27	29	58	44	21
ENSG00000001461	NIPAL3	693	448	330	738	444	331	510	224	864	105	313	774	331	95
ENSG00000001497	LAS1L	453	346	327	475	356	318	344	269	483	200	302	433	395	159
ENSG00000001561	ENPP4	91	57	65	238	100	47	148	29	110	11	17	242	49	6
ENSG00000001617	SEMA3F	1	0	0	0	0	0	3	2	1	0	0	1	0	0
ENSG00000001626	CFTR	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000001629	ANKIB1	305	171	208	495	259	167	344	134	417	25	86	585	111	24
ENSG00000001630	CYP51A1	5	1	4	4	5	0	8	0	6	0	1	9	2	1
ENSG00000001631	KRIT1	93	49	37	114	51	41	93	35	107	5	65	165	29	6
ENSG00000002016	RAD52	171	105	86	179	117	81	142	65	183	40	79	179	68	18
ENSG00000002079	MYH16	0	0	0	0	1	0	3	1	1	0	0	0	0	0
ENSG00000002330	BAD	90	68	96	64	80	61	55	107	125	326	63	137	73	182
ENSG00000002549	LAP3	1476	429	622	656	680	864	405	925	608	290	645	526	2842	246
ENSG00000002586	CD99	1909	1579	1776	2414	1546	1728	1663	1865	2298	1437	1272	1604	1628	972
ENSG00000002587	HS3ST1	16	13	22	19	16	12	16	15	11	10	7	18	15	0
ENSG00000002726	AOC1	58	6	4	8	11	44	3	4	138	108	35	88	21	1
ENSG00000002745	WNT16	2	6	3	9	14	5	4	4	10	3	1	14	2	2
ENSG00000002746	HECW1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000002822	MAD1L1	694	461	385	457	305	417	287	329	543	823	462	599	600	318
ENSG00000002834	LASP1	11399	8531	9463	8002	6641	6346	4775	9166	11661	6462	5197	11091	6694	3295
ENSG00000002919	SNX11	1206	952	1037	942	850	799	605	1280	1363	1197	792	1427	775	528
ENSG00000002933	TMEM176A	437	54	147	11	34	547	52	200	692	915	467	1304	56	26
ENSG00000003056	M6PR	1540	932	1239	1527	1252	999	953	721	1229	369	558	1517	1090	317
ENSG00000003096	KLHL13	5	4	10	8	10	0	10	1	4	1	1	14	2	3
ENSG00000003137	CYP26B1	0	0	29	0	0	21	0	0	0	0	0	63	16	0
ENSG00000003147	ICA1	27	30	48	41	36	18	31	46	32	25	22	60	33	20
ENSG00000003249	DBNDD1	65	74	87	98	66	79	109	28	171	100	59	90	60	61
ENSG00000003393	ALS2	195	94	113	264	140	77	153	91	183	40	52	189	84	18
ENSG00000003400	CASP10	1155	913	700	1015	704	658	645	653	1200	247	578	1084	984	246
ENSG00000003402	CFLAR	8570	7458	6482	7099	5319	4588	5577	8186	11346	4647	3083	12565	4370	2989
ENSG00000003436	TFPI	3	6	2	6	0	13	3	5	1	2	6	9	0	5
ENSG00000003509	NDUFAF7	147	95	68	158	114	58	113	105	117	21	74	182	54	16
ENSG00000003756	RBM5	3430	2649	2548	3604	2605	1882	2383	2610	3902	1070	1627	4015	1864	631
ENSG00000003987	MTMR7	31	13	10	21	19	9	24	3	23	6	8	28	15	3
ENSG00000003989	SLC7A2	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSG00000004059	ARF5	1839	1116	1484	1221	1102	1063	747	1633	1772	2482	1090	1840	1111	1326
ENSG00000004139	SARM1	156	97	113	179	123	126	124	89	247	74	105	249	96	42
ENSG00000004142	POLDIP2	830	614	700	775	543	599	480	731	777	677	618	724	611	380
ENSG00000004399	PLXND1	1173	970	1258	1495	796	703	937	1117	1463	639	663	1817	1095	352
ENSG00000004455	AK2	1132	607	870	1073	807	647	679	581	783	380	470	972	868	307
ENSG00000004468	CD38	369	205	225	325	199	210	186	181	386	66	190	355	266	54
ENSG00000004478	FKBP4	543	355	434	379	533	392	268	229	546	302	340	534	447	284
ENSG00000004487	KDM1A	719	509	515	716	532	534	522	406	731	222	413	770	459	152
ENSG00000004534	RBM6	2502	1277	2024	2084	1266	1919	1256	1534	2020	938	1423	1975	1356	784
ENSG00000004660	CAMKK1	533	443	577	605	326	224	184	337	777	555	283	682	304	326
ENSG00000004700	RECQL	188	61	141	247	146	87	181	46	169	15	20	298	95	12
ENSG00000004766	VPS50	192	81	147	210	129	73	127	40	139	21	35	185	100	15
ENSG00000004776	HSPB6	0	1	0	0	2	0	0	0	0	6	2	0	0	0
ENSG00000004777	ARHGAP33	72	135	81	156	103	126	99	85	207	118	71	180	111	69
ENSG00000004779	NDUFAB1	121	96	120	156	140	121	76	104	122	120	105	162	128	70
ENSG00000004799	PDK4	173	60	213	324	134	42	202	24	183	12	48	321	204	9
ENSG00000004809	SLC22A16	26	14	15	8	17	30	9	11	22	14	10	8	4	1
ENSG00000004838	ZMYND10	57	35	38	35	19	27	28	50	58	45	30	54	43	27
ENSG00000004846	ABCB5	0	0	1	1	0	0	0	0	0	0	0	0	0	0
ENSG00000004848	ARX	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004864	SLC25A13	163	64	72	133	88	65	94	85	116	7	56	143	83	11
ENSG00000004866	ST7	75	59	82	83	53	57	49	52	65	34	53	65	54	24
ENSG00000004897	CDC27	446	225	342	446	320	214	350	178	377	77	120	523	229	48
ENSG00000004939	SLC4A1	2218	1690	3514	1627	2492	3360	2223	1147	6071	835	2275	2875	2297	2425
ENSG00000004948	CALCR	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004961	HCCS	237	112	171	260	151	179	148	124	191	99	92	208	156	41
ENSG00000004975	DVL2	341	311	299	420	310	285	286	251	537	229	236	562	306	180
ENSG00000005001	PRSS22	4	3	3	4	5	0	6	1	9	0	3	9	1	1
ENSG00000005007	UPF1	3667	3179	2939	2662	2239	2056	1863	3296	5747	3095	1946	5530	2395	1507
ENSG00000005020	SKAP2	2487	1600	1265	1819	1155	943	1697	1826	1323	422	448	2485	1003	271
ENSG00000005022	SLC25A5	1485	1041	1409	1343	1159	1120	978	1028	1138	841	1073	1537	1174	569
ENSG00000005059	MCUB	599	367	437	467	433	436	417	315	643	218	282	508	396	127
ENSG00000005073	HOXA11	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000005075	POLR2J	232	161	213	139	154	142	112	231	176	365	164	186	161	149
ENSG00000005100	DHX33	189	148	123	281	133	85	216	81	218	12	82	271	95	17
ENSG00000005102	MEOX1	50	42	21	28	23	28	32	9	39	16	16	45	16	4
ENSG00000005108	THSD7A	5	1	0	5	0	0	0	2	2	0	0	5	2	0
ENSG00000005156	LIG3	333	250	292	321	262	198	268	211	451	192	208	373	225	95
ENSG00000005175	RPAP3	230	125	244	273	248	151	201	103	214	52	73	288	206	65
ENSG00000005187	ACSM3	61	33	52	84	78	27	51	42	42	20	47	64	52	11
ENSG00000005189	REXO5	13	4	4	21	15	12	5	13	20	20	7	6	5	9
