Gene ID	Gene Name	'relapsing-remitting multiple sclerosis' vs 'normal' .foldChange	'relapsing-remitting multiple sclerosis' vs 'normal'.pValue
ENSG00000000419	DPM1	0.1	0.686277918738981
ENSG00000000457	SCYL3	0.1	0.750671213172941
ENSG00000000460	C1orf112	-0.4	0.348979563074391
ENSG00000000938	FGR	0.4	0.0999778218081341
ENSG00000000971	CFH	-0.4	0.536051891525082
ENSG00000001036	FUCA2	0.1	0.708408173548464
ENSG00000001084	GCLC	-0.5	0.13801463537519
ENSG00000001167	NFYA	-0.3	0.354406412436568
ENSG00000001461	NIPAL3	-0.6	0.0343047829346663
ENSG00000001497	LAS1L	0.1	0.796326301408604
ENSG00000001561	ENPP4	-1.0	0.0392468661391422
ENSG00000001629	ANKIB1	-0.8	0.0462359760517896
ENSG00000001631	KRIT1	-0.9	0.023033966098006
ENSG00000002016	RAD52	-0.5	0.048298089699585
ENSG00000002330	BAD	1.3	0.00666904080844561
ENSG00000002549	LAP3	0.9	0.0540673680225753
ENSG00000002586	CD99	0.3	0.177938420462309
ENSG00000002587	HS3ST1	0.2	0.638896853686187
ENSG00000002726	AOC1	0.2	0.798402990927727
ENSG00000002822	MAD1L1	0.7	0.0549381424509939
ENSG00000002834	LASP1	0.4	0.0360221600533215
ENSG00000002919	SNX11	0.5	0.0513841958513358
ENSG00000002933	TMEM176A	0.1	0.870162213262486
ENSG00000003147	ICA1	0.4	0.171718688459817
ENSG00000003249	DBNDD1	0.1	0.77295014439655
ENSG00000003393	ALS2	-0.3	0.336738892312425
ENSG00000003402	CFLAR	0.2	0.358236858681599
ENSG00000003509	NDUFAF7	-0.4	0.232387426068701
ENSG00000003756	RBM5	-0.1	0.553820538436433
ENSG00000003987	MTMR7	-0.3	0.521167825019302
ENSG00000004059	ARF5	0.9	0.00970922202120412
ENSG00000004139	SARM1	-0.3	0.142679574498913
ENSG00000004142	POLDIP2	0.5	0.0667452111419952
ENSG00000004399	PLXND1	0.2	0.249156448446983
ENSG00000004455	AK2	0.2	0.216485011044709
ENSG00000004468	CD38	-0.1	0.75856826821103
ENSG00000004478	FKBP4	0.3	0.327769402487493
ENSG00000004487	KDM1A	-0.2	0.270414541394725
ENSG00000004534	RBM6	0.2	0.291785182330643
ENSG00000004660	CAMKK1	0.6	0.0914169015221508
ENSG00000004700	RECQL	-0.5	0.327654925811007
ENSG00000004766	VPS50	-0.2	0.62561862567912
ENSG00000004779	NDUFAB1	0.3	0.272042511078586
ENSG00000004799	PDK4	-0.2	0.688645085382368
ENSG00000004809	SLC22A16	-0.1	0.914151897442209
ENSG00000004838	ZMYND10	0.7	0.0180543210544739
ENSG00000004864	SLC25A13	-0.2	0.700610446767828
ENSG00000004866	ST7	0.2	0.489993004022579
ENSG00000004897	CDC27	-0.2	0.472330598484241
ENSG00000004939	SLC4A1	0.1	0.844158970433361
ENSG00000004961	HCCS	0.1	0.775999603783808
ENSG00000004975	DVL2	0.1	0.786699570983135
ENSG00000005007	UPF1	0.4	0.164751609991479
ENSG00000005020	SKAP2	0.1	0.907405223761324
ENSG00000005022	SLC25A5	0.3	0.199422794983588
ENSG00000005075	POLR2J	1.0	0.0105543114925084
ENSG00000005100	DHX33	-0.7	0.071427734162899
ENSG00000005102	MEOX1	-0.4	0.34284076451541
ENSG00000005187	ACSM3	-0.1	0.826500945446014
ENSG00000005189	REXO5	0.4	0.439754954267835
ENSG00000005194	CIAPIN1	0.2	0.277941370971911
ENSG00000005206	SPPL2B	0.5	0.192577686483661
ENSG00000005238	FAM214B	0.4	0.048298089699585
ENSG00000005243	COPZ2	0.4	0.34985084622141
ENSG00000005339	CREBBP	-0.3	0.359432629491379
ENSG00000005379	TSPOAP1	-0.2	0.590230349323263
ENSG00000005381	MPO	-0.1	0.92916350864111
ENSG00000005436	GCFC2	-0.6	0.131286804999468
ENSG00000005448	WDR54	0.2	0.607169394696854
ENSG00000005469	CROT	-0.4	0.333603102284547
ENSG00000005471	ABCB4	-0.8	0.0653182720232302
ENSG00000005483	KMT2E	-0.5	0.189425427016027
ENSG00000005486	RHBDD2	0.6	0.0587174701548215
ENSG00000005513	SOX8	-0.3	0.549210529871388
ENSG00000005700	IBTK	-0.5	0.296786919075562
ENSG00000005801	ZNF195	-0.7	0.0258606123248185
ENSG00000005810	MYCBP2	-0.4	0.265902219764106
ENSG00000005812	FBXL3	-0.7	0.103617883321838
ENSG00000005844	ITGAL	0.1	0.426942970131842
ENSG00000005882	PDK2	0.3	0.177686255864919
ENSG00000005884	ITGA3	-0.1	0.719478172546808
ENSG00000005889	ZFX	-0.7	0.0451523795907823
ENSG00000005893	LAMP2	0.2	0.399854777953182
ENSG00000005961	ITGA2B	1.1	0.0190094338264033
ENSG00000006007	GDE1	0.2	0.449696714983378
ENSG00000006015	REX1BD	0.8	0.101450238339367
ENSG00000006016	CRLF1	0.7	0.159473652420246
ENSG00000006025	OSBPL7	0.4	0.243937312737344
ENSG00000006062	MAP3K14	0.4	0.0724098614307526
ENSG00000006125	AP2B1	0.1	0.400085924376138
ENSG00000006194	ZNF263	0.1	0.63055835445954
ENSG00000006282	SPATA20	0.4	0.305435645900339
ENSG00000006327	TNFRSF12A	1.3	0.003859524147823
ENSG00000006432	MAP3K9	-0.6	0.0201815793460135
ENSG00000006451	RALA	-0.1	0.787163314068696
ENSG00000006453	BAIAP2L1	-0.1	0.80157256153148
ENSG00000006459	KDM7A	-0.6	0.131540649001613
ENSG00000006530	AGK	-0.5	0.0237366255131322
ENSG00000006534	ALDH3B1	0.6	0.0255959343197274
ENSG00000006555	TTC22	0.1	0.497955553935177
ENSG00000006576	PHTF2	-0.9	0.0334695337063584
ENSG00000006607	FARP2	-0.4	0.126747490368756
ENSG00000006634	DBF4	-0.5	0.122149103206959
ENSG00000006638	TBXA2R	0.3	0.51811095850421
ENSG00000006652	IFRD1	-0.2	0.547640547457698
ENSG00000006712	PAF1	0.4	0.119013670428775
ENSG00000006715	VPS41	-0.1	0.679348812726222
